question,answers
Khi nào hình thức kéo dài thời gian nâng lương hoặc cách chức được xóa?,"Hình thức kéo dài thời gian nâng lương hoặc cách chức được xóa sau 12 tháng kể từ ngày công bố, nếu công nhân viên không vi phạm nội quy lao động trong thời gian này."
Hành vi nào vi phạm quy định về phá hoại tài sản của người khác?,Các hành vi sau đây vi phạm quy định về phá hoại tài sản của người khác:<br> Cố ý làm hỏng tài sản của người khác.<br> Sử dụng tài sản của người khác không đúng mục đích.<br> Lấy cắp tài sản của người khác.<br> Hình thức xử lý: Kéo dài thời gian nâng lương hoặc cách chức.
"Hành vi nào vi phạm quy định về tung tin đồn thất thiệt, số liệu sai sự thật?","Các hành vi sau đây vi phạm quy định về tung tin đồn thất thiệt, số liệu sai sự thật:<br> Tung tin đồn thất thiệt, số liệu sai sự thật gây ảnh hưởng đến uy tín của công ty hoặc người khác.<br> Lan truyền tin đồn thất thiệt, số liệu sai sự thật.<br> Sử dụng thông tin sai lệch để trục lợi.<br> Hình thức xử lý: Kéo dài thời gian nâng lương hoặc cách chức."
Hành vi nào vi phạm quy định về uy hiếp an toàn đến đồng nghiệp hoặc chủ quản?,"Các hành vi sau đây vi phạm quy định về uy hiếp an toàn đến đồng nghiệp hoặc chủ quản:<br> Dọa nạt, đe dọa đồng nghiệp hoặc chủ quản.<br> Có hành vi bạo lực với đồng nghiệp hoặc chủ quản.<br> Sử dụng vũ khí hoặc vật dụng nguy hiểm để uy hiếp đồng nghiệp hoặc chủ quản.<br> Hình thức xử lý: Kéo dài thời gian nâng lương hoặc cách chức.<br> Lưu ý:<br> Hình thức kéo dài thời gian nâng lương hoặc cách chức chỉ áp dụng cho những hành vi vi phạm có mức độ nghiêm trọng."
Có những hành vi nào vi phạm nội quy công ty sẽ bị sa thải?,"Các hành vi sau đây vi phạm nội quy công ty sẽ bị sa thải:<br> Tiết lộ bí mật thông tin doanh nghiệp, bí quyết kinh doanh và bí mật thông số kỹ thuật, có tình tiết nghiêm trọng.<br> Cố ý làm hư hỏng tài sản máy móc gây thiệt hại nghiêm trọng cho công ty.<br> Có hành vi gian lận và giả mạo văn thư giấy tờ, gây thiệt hại nghiêm trọng về tài sản, lợi ích của công ty.<br> Xâm phạm quyền sở hữu trí tuệ của Công ty.<br> Sử dụng ma túy trong phạm vi Công ty.<br> Vắng mặt không có lý do chính đáng cộng dồn 05 ngày làm việc trong vòng 30 ngày hoặc cộng dồn 20 ngày làm việc trong vòng 365 ngày.<br> Cố ý gây thương tích, tổ chức ẩu đả trong phạm vi quản lý của công ty (bao gồm trên xe đưa rước của công ty) gây thiệt hại nghiêm trọng về tài sản, lợi ích của công ty.<br> Làm tổn hại đến tài sản bị thất thoát nghiêm trọng đồng thời gây ảnh hưởng đến lợi ích và danh dự của Công ty.<br> Trong Công ty tự ý tàng trữ vũ khí, đạn dược hoặc các vật phẩm nguy hiểm có tính nguy hại gây thiệt hại nghiêm trọng đến tài sản, lợi ích của công ty.<br> Chưa được chủ quản đồng ý, tự ý sử dụng tài sản của Công ty hoặc cho người khác mượn gây thiệt hại đặc biệt nghiêm trọng về tài sản.<br> Trong Công ty, có hành vi cờ bạc, cá độ làm ảnh hưởng tới uy tín lợi ích của Công ty.<br> Có hành vi hối lộ trong công ty nhằm thu lợi ích cá nhân gây thiệt hại nghiêm trọng đến tài sản, lợi ích của công ty.<br> Có hành vi tham ô, trộm cắp trong xưởng.<br> Tái phạm hút thuốc trong khu vực cấm hút thuốc (đã bị xử lý kỷ luật kéo dài thời hạn nâng lương không quá 6 tháng hoặc cách chức mà tái phạm trong thời gian chưa xóa kỷ luật) hoặc hút thuốc gây thiệt hại nghiêm trọng đến tài sản, lợi ích của Công ty.<br> Có hành vi gây thiệt hại nghiêm trọng hoặc đe dọa gây thiệt hại đặc biệt nghiêm trọng về tài sản, lợi ích của Công ty.<br> Có hành vi quấy rối tình dục trong công ty.<br> Lưu ý:<br> Sa thải là hình thức kỷ luật nặng nhất, chỉ áp dụng cho những hành vi vi phạm có mức độ nghiêm trọng."
Ai có quyền đề nghị khen thưởng cho công nhân viên?,Chủ quản trực tiếp của công nhân viên có quyền đề nghị khen thưởng.
Thủ tục đề nghị khen thưởng như thế nào?,"Chủ quản trực tiếp sẽ đánh giá biểu hiện công việc của công nhân viên, thiết lập Biểu đề nghị khen thưởng.<br> Sau khi trình ký, Biểu đề nghị khen thưởng sẽ được giao cho Tổ Quan hệ cộng đồng _ Bộ phận Tài nguyên nhân lực.<br> Biểu đề nghị khen thưởng chính thức có hiệu lực khi Hội đồng khen thưởng kỷ luật ra quyết định khen thưởng."
Những trường hợp nào được khen thưởng?,"Các trường hợp sau đây được khen thưởng:<br> Biểu hiện công việc ưu tú nổi trội, hoàn thành vượt trội chỉ tiêu sản lượng do Bộ phận hoặc Công ty đề ra.<br> Công nhân viên có năng lực lãnh đạo nhóm, chỉ đạo nhóm hoàn thành tốt nhiệm vụ chủ quản đề ra; hoặc công nhân viên có năng lực lãnh đạo triển khai công việc xuất sắc đạt chỉ tiêu sản lượng do bộ phận hoặc công ty đề ra.<br> Công nhân viên tích cực giải quyết vấn đề phát sinh, có ý kiến đề suất cải thiện quy trình làm việc hiệu quả, có tinh thần trách nhiệm, cần cù, siêng năng.<br> Công nhân viên có biểu hiện ưu tú hoặc cống hiến đặc biệt không liên quan đến sản xuất, có cống hiến trong việc thúc đẩy văn hóa doanh nghiệp trở thành một ví dụ điển hình cho những công nhân khác noi theo."
Những trường hợp nào được ghi công nhỏ và ghi công lớn?,"Các trường hợp sau đây được ghi công nhỏ và ghi công lớn:<br> Đối với việc kinh doanh, sản xuất, quản lý, máy móc thiết bị của công ty có đề xuất ý kiến hoặc phương thức cải tiến khả quan, và sau khi áp dụng thực hiện đã cho ra kết quả tốt.<br> Người có công tiết kiệm tiền bạc, vật chất, nguồn nhân lực bằng các hoạt động thiết thực cụ thể.<br> Kịp thời sớm phát hiện các hành vi vi phạm pháp luật, gian lận gây tổn hại nghiêm trọng đến lợi ích của công ty, vấn đề sản xuất, vấn đề quản lý và có biện pháp ngăn ngừa, giúp cho công ty tránh khỏi thiệt hại hoặc giảm thiểu tối đa thiệt hại.<br> Biểu hiện công việc vượt trội, giải quyết các tình huống khẩn cấp phát sinh giúp cho công ty gia tăng lợi ích hoặc tránh khỏi thiệt hại hoặc giảm thiểu thiệt hại phát sinh.<br> Người có những ý tưởng, sáng kiến đóng góp mang lại giá trị to lớn, không trị giá được bằng tiền và văn phòng Tổng giám đốc phê duyệt: bảo vệ tài sản của công ty, áp dụng thực thi pháp luật, kiến nghị đề xuất cải thiện về Quy trình sản xuất, quy trình quản lý, sản xuất kinh doanh, sau khi áp dụng đã cho kết quả thành công.<br> Lưu ý:<br> Quyết định ghi công nhỏ và ghi công lớn do Chủ quản trực tiếp xem xét tình tiết mà viết Biểu đề nghị.<br> Ngoài ra, bạn cũng có thể tham khảo thêm các quy định khác trong Nội quy lao động của công ty Can Sports Việt Nam."
Khi nào được hưởng chế độ khen thưởng?,Chế độ khen thưởng được hưởng sau khi có quyết định khen thưởng của Hội đồng khen thưởng kỷ luật.
Công nhân viên có những trách nhiệm gì về an toàn vệ sinh lao động và sức khỏe?,"Công nhân viên có những trách nhiệm sau đây về an toàn vệ sinh lao động và sức khỏe:<br> Tham gia các khóa huấn luyện, phổ cập về biện pháp, quy định, tiêu chuẩn an toàn vệ sinh môi trường và sức khỏe do công ty/ công xưởng tổ chức.<br> Tuân thủ mọi luật định, quy định về an toàn vệ sinh lao động và sức khỏe trong phạm vi chức vụ và trách nhiệm của mỗi cá nhân.<br> Sử dụng đúng cách các dụng cụ bảo hộ lao động được trang bị.<br> Phát hiện và thông báo cho chủ quản phụ trách có liên quan nếu có bất kỳ công việc nào hay công việc chủ quản yêu cầu thực hiện có thể xảy ra sự cố, ngộ độc hoặc có nguy hiểm.<br> Làm vệ sinh sạch sẽ các trang thiết bị máy móc, thu dọn vật liệu và công cụ phục vụ cho sản xuất khi tan ca.<br> Không tự ý thao tác, sửa chữa, điều chỉnh các máy móc, thiết bị khi chưa được sự đồng ý của chủ quản.<br> Giữ gìn vệ sinh chung, không vẽ bậy, khạc nhổ, vứt rác bừa bãi trong khuôn viên công ty, nhà xưởng.<br> Tham gia, phối hợp với công ty thực hiện 5S."
Công nhân viên được trang bị những dụng cụ bảo hộ lao động nào?,"Công nhân viên được trang bị dụng cụ bảo hộ lao động tùy theo từng công việc, bao gồm:<br> Giày cách điện.<br> Nón.<br> Tai chống ồn.<br> Gang tay.<br> Khẩu trang.<br> Áo yếm.<br> Kính bảo hộ.<br> Ủng cao su."
Có những biện pháp nào để phòng tránh tai nạn lao động?,"Để phòng tránh tai nạn lao động, cần thực hiện các biện pháp sau đây:<br> Tuân thủ mọi luật định, quy định về an toàn vệ sinh lao động và sức khỏe.<br> Sử dụng đúng cách các dụng cụ bảo hộ lao động.<br> Phát hiện và thông báo cho chủ quản phụ trách có liên quan nếu có bất kỳ công việc nào hay công việc chủ quản yêu cầu thực hiện có thể xảy ra sự cố, ngộ độc hoặc có nguy hiểm.<br> Không tự ý thao tác, sửa chữa, điều chỉnh các máy móc, thiết bị khi chưa được sự đồng ý của chủ quản."
Việc thực hiện 5S có ý nghĩa gì?,"Việc thực hiện 5S có những ý nghĩa sau đây:<br> Nâng cao năng suất lao động.<br> Cải thiện chất lượng sản phẩm.<br> Giảm thiểu tai nạn lao động.<br> Bảo vệ môi trường.<br> Tạo môi trường làm việc an toàn, vệ sinh, gọn gàng."
Công ty tổ chức những chương trình huấn luyện và đào tạo nào cho nhân viên?,"Công ty tổ chức các chương trình huấn luyện và đào tạo sau đây cho nhân viên:<br> Đào tạo toàn diện, hướng dẫn và đào tạo nhân viên mới.<br> Huấn luyện công nhân viên trước khi nhận việc.<br> Huấn luyện không định kỳ về vệ sinh an toàn lao động.<br> Đào tạo nâng cao năng lực chuyên môn."
Mọi người có bắt buộc phải tham gia huấn luyện và đào tạo không?,Tất cả công nhân viên đều phải tham gia phối hợp huấn luyện và đào tạo.
Thời gian tham gia huấn luyện được tính như thế nào?,Thời gian tham gia huấn luyện của mỗi cá nhân sẽ được cập nhập vào hệ thống của công ty.
Mục đích của việc cập nhật thời gian tham gia huấn luyện là gì?,Thời gian tham gia huấn luyện sẽ là tài liệu tham khảo cho việc nâng lương và thăng chức sau này.
Khi nào công ty tổ chức huấn luyện bên ngoài?,Công ty tổ chức huấn luyện bên ngoài khi cần thiết để nâng cao năng lực chuyên môn của nhân viên.
Nhân viên có được lựa chọn tham gia huấn luyện bên ngoài hay không?,Việc tham gia huấn luyện bên ngoài được thực hiện theo quyết định của công ty.
Nhân viên có phải ký hợp đồng huấn luyện đào tạo với công ty khi tham gia huấn luyện bên ngoài?,"Có, nhân viên phải ký hợp đồng huấn luyện đào tạo với công ty khi tham gia huấn luyện bên ngoài."
Nhân viên có phải phục vụ cho công ty theo như thời gian trong hợp đồng huấn luyện đã quy định?,"Có, nhân viên phải phục vụ cho công ty theo như thời gian trong hợp đồng huấn luyện đã quy định."
Nếu nhân viên chấm dứt hợp đồng sớm hơn quy định mà không có lý do chính đáng thì phải chịu trách nhiệm gì?,Nếu nhân viên chấm dứt hợp đồng sớm hơn quy định mà không có lý do chính đáng thì phải bồi thường chi phí đào tạo cho công ty.
"Nhân viên có phải nộp Chứng chỉ đào tạo, giáo trình cho Tổ huấn luyện Bộ phận Tài nguyên nhân lực sau khi tham gia huấn luyện bên ngoài?","Có, nhân viên phải nộp Chứng chỉ đào tạo, giáo trình cho Tổ huấn luyện Bộ phận Tài nguyên nhân lực sau khi tham gia huấn luyện bên ngoài."
Nhân viên có phải đào tạo lại chương trình đã học cho đơn vị khác sau khi tham gia huấn luyện bên ngoài?,"Có, nhân viên phải đào tạo lại chương trình đã học cho đơn vị khác trong vòng 1 tháng sau khi tham gia huấn luyện."
"Nhân viên có phải chuyển lại các giáo trình, hình ảnh, ghi chép liên quan sau khi đào tạo lại chương trình đã học cho đơn vị khác?","Có, nhân viên phải chuyển lại các giáo trình, hình ảnh, ghi chép liên quan sau khi đào tạo lại chương trình đã học cho đơn vị khác."
Mục đích của việc phản ánh trong nội bộ là gì?,"Mục đích của việc phản ánh trong nội bộ là để giải quyết các vấn đề của công nhân viên một cách nhanh chóng, hiệu quả và tiết kiệm chi phí."
Các bước phản ánh trong nội bộ được thực hiện như thế nào?,"Các bước phản ánh trong nội bộ được thực hiện như sau:<br> Bước 1:<br> Công nhân viên khiếu nại lên quản lý trực tiếp của mình.<br> Nếu có nhu cầu, công nhân viên có thể đi cùng đại diện của Công đoàn.<br> Cấp quản lý trực tiếp có trách nhiệm giải quyết vấn đề khiếu nại trong vòng 02 ngày làm việc.<br> Bước 2:<br> Nếu công nhân viên khiếu kiện không hài lòng kết quả giải quyết của quản lý trực tiếp trong vòng 02 ngày làm việc, công nhân viên này có quyền khiếu nại lên trưởng bộ phận.<br> Nếu có nhu cầu, công nhân viên có thể đi cùng đại diện của Công đoàn.<br> Trưởng bộ phận có trách nhiệm giải quyết vấn đề khiếu nại trong vòng 03 ngày làm việc.<br> Bước 3:<br> Nếu công nhân viên khiếu kiện vẫn không hài lòng kết quả giải quyết của trưởng bộ phận trong vòng 03 ngày làm việc ở bước 2, công nhân viên này có quyền khiếu nại lên tổ trách nhiệm cộng đồng (ER).<br> Nếu có nhu cầu, công nhân viên có thể đi cùng đại diện của Công đoàn.<br> Tổ Trách nhiệm cộng đồng có trách nhiệm giải quyết vấn đề khiếu nại trong vòng 07 ngày làm việc."
Nếu công nhân viên không hài lòng với kết quả giải quyết của tổ trách nhiệm cộng đồng thì phải làm gì?,"Nếu công nhân viên không hài lòng với kết quả giải quyết của tổ trách nhiệm cộng đồng, công nhân viên có quyền khiếu nại lên Ban Giám đốc công ty."
Khi nào công nhân viên được phép phản ánh bên ngoài?,Công nhân viên chỉ được phép phản ánh bên ngoài khi đã thực hiện đầy đủ các bước phản ánh trong nội bộ và không hài lòng với kết quả giải quyết.
Công nhân viên có thể phản ánh bên ngoài qua những kênh nào?,"Công nhân viên có thể phản ánh bên ngoài qua các kênh sau:<br> Thanh tra lao động.<br> Tòa án lao động.<br> Các tổ chức công đoàn.<br> Các cơ quan báo chí, truyền thông.<br> Lưu ý:<br> Khi phản ánh bên ngoài, công nhân viên cần cung cấp đầy đủ thông tin, bằng chứng liên quan đến vấn đề khiếu nại.<br> Công nhân viên cần tuân thủ các quy định của pháp luật khi phản ánh bên ngoài."
Mục đích của việc phản ánh qua thùng thư góp ý là gì?,Mục đích của việc phản ánh qua thùng thư góp ý là tạo điều kiện cho công nhân viên có thể nêu ý kiến một cách ẩn danh và không cần phải trực tiếp gặp gỡ với quản lý.
Công ty có những quy định gì về việc phản ánh qua thùng thư góp ý?,"Công ty có những quy định sau đây về việc phản ánh qua thùng thư góp ý:<br> Công ty có thiết lập các thùng thư góp ý tại các vị trí thuận lợi cho công nhân viên.<br> Công ty cung cấp bảng hướng dẫn viết thư góp ý và mẫu thư ý kiến để công nhân viên tham khảo và sử dụng.<br> ER sẽ mở thùng thư 02 lần/tuần.<br> ER sẽ phối hợp và tham khảo Bộ Phận Tài Nguyên nhân lực, Công đoàn và Trưởng bộ phận liên quan và công nhân viên khiếu nại để giải quyết vấn đề.<br> Kết quả giải quyết sẽ được thông báo cho công nhân viên trong vòng 07 ngày làm việc.<br> Đối với những vụ việc phức tạp, kết quả giải quyết sẽ được thông báo trong vòng 01 tháng."
Công nhân viên cần lưu ý gì khi phản ánh qua thùng thư góp ý?,"Công nhân viên cần lưu ý những điều sau đây khi phản ánh qua thùng thư góp ý:<br> Nêu rõ ràng, cụ thể vấn đề cần phản ánh.<br> Cung cấp đầy đủ thông tin liên quan đến vấn đề cần phản ánh.<br> Giữ gìn bí mật nội dung thư góp ý."
Mục đích của việc gọi điện tới đường dây nóng của ER là gì?,Mục đích của việc gọi điện tới đường dây nóng của ER là tạo điều kiện cho công nhân viên có thể nêu ý kiến một cách nhanh chóng và tiện lợi.
Công nhân viên có thể gọi điện tới đường dây nóng của ER trong những trường hợp nào?,"Công nhân viên có thể gọi điện tới đường dây nóng của ER trong những trường hợp sau:<br> Có ý kiến, đóng góp về công việc, môi trường làm việc, chế độ đãi ngộ,…<br> Muốn phản ánh về những hành vi vi phạm nội quy lao động, quy định của công ty.<br> Muốn giải đáp các thắc mắc liên quan đến quyền lợi và nghĩa vụ của công nhân viên."
Quy trình giải quyết khi công nhân viên gọi điện tới đường dây nóng của ER như thế nào?,"Quy trình giải quyết khi công nhân viên gọi điện tới đường dây nóng của ER như sau:<br> ER sẽ tiếp nhận thông tin từ công nhân viên.<br> ER sẽ phối hợp và tham khảo ý kiến của Bộ Phận Tài Nguyên Nhân Lực, Công đoàn và Trưởng bộ phận liên quan và công nhân viên khiếu nại để giải quyết vấn đề.<br> Kết quả giải quyết sẽ được thông báo cho công nhân viên trong vòng 07 ngày làm việc.<br> Đối với những vụ việc phức tạp, kết quả giải quyết sẽ được thông báo trong vòng 01 tháng."
Công nhân viên cần lưu ý gì khi gọi điện tới đường dây nóng của ER?,"Công nhân viên cần lưu ý những điều sau đây khi gọi điện tới đường dây nóng của ER:<br> Nêu rõ ràng, cụ thể vấn đề cần phản ánh.<br> Cung cấp đầy đủ thông tin liên quan đến vấn đề cần phản ánh.<br> Giữ gìn bí mật nội dung cuộc gọi.<br> Số điện thoại của đường dây nóng ER là gì?<br> Có hai số điện thoại bạn có thể liên lạc để kết nối với ER:<br> Số điện thoại công ty: 0268.3721111 (bấm số nội bộ 137)<br> Đường dây nóng của ER: 0924.958.494"
Khi nào tôi nên gọi đến đường dây nóng của ER?,"Bạn có thể gọi đến đường dây nóng của ER trong bất kỳ trường hợp nào sau đây:<br> Bạn có ý kiến, đóng góp về công việc, môi trường làm việc, chế độ đãi ngộ,…<br> Bạn muốn phản ánh về những hành vi vi phạm nội quy lao động, quy định của công ty.<br> Bạn muốn giải đáp các thắc mắc liên quan đến quyền lợi và nghĩa vụ của công nhân viên.<br> Bạn muốn gặp trực tiếp ER để trao đổi về vấn đề nào đó."
Quy trình giải quyết khi tôi gọi đến đường dây nóng của ER như thế nào?,"Khi bạn gọi đến đường dây nóng của ER, nhân viên ER sẽ tiếp nhận thông tin từ bạn và thực hiện các bước sau:<br> Ghi nhận thông tin của bạn: Họ sẽ hỏi bạn về tên, bộ phận, số điện thoại, nội dung phản ánh/gọi điện.<br> Phân loại vấn đề: ER sẽ phân loại vấn đề của bạn dựa trên mức độ phức tạp và tính chất.<br> Xử lý vấn đề:<br> Vấn đề đơn giản: ER sẽ giải quyết trực tiếp với bạn qua điện thoại.<br> Vấn đề phức tạp: ER sẽ phối hợp với các bộ phận liên quan như Bộ Phận Tài Nguyên Nhân Lực, Công đoàn, Trưởng bộ phận để giải quyết.<br> Thông báo kết quả: ER sẽ thông báo kết quả giải quyết cho bạn trong vòng 07 ngày làm việc đối với vấn đề đơn giản, hoặc 01 tháng đối với vấn đề phức tạp.<br> Lưu ý:<br> Bạn nên cung cấp đầy đủ thông tin khi gọi đến đường dây nóng của ER để giúp họ giải quyết vấn đề của bạn nhanh chóng và hiệu quả.<br> Bạn có thể yêu cầu giữ bí mật thông tin cá nhân của mình khi gọi đến đường dây nóng."
Các bước thực hiện khi muốn thôi việc tại công ty là gì?,"Để thôi việc tại công ty, bạn cần thực hiện các bước sau:<br> Đến Bộ phận Tài Nguyên Nhân Lực - tổ ER để lấy “Đơn xin thôi việc”.<br> Điền đầy đủ thông tin vào đơn xin thôi việc.<br> Nộp đơn xin thôi việc cho Chủ quản có thẩm quyền ký duyệt.<br> Sau khi được duyệt, nộp đơn xin thôi việc cho Bộ phận Tài Nguyên Nhân Lực - tổ ER.<br> Làm việc đến ngày làm việc cuối cùng được ghi trong đơn xin thôi việc."
Tôi có thể thông báo nghỉ việc bằng miệng hay không?,"Không, bạn không thể thông báo nghỉ việc bằng miệng. Bạn phải thông báo nghỉ việc bằng văn bản theo quy định của công ty."
Nếu tôi muốn nghỉ việc sớm hơn ngày làm việc cuối cùng được ghi trong đơn xin thôi việc thì phải làm gì?,"Nếu bạn muốn nghỉ việc sớm hơn ngày làm việc cuối cùng được ghi trong đơn xin thôi việc, bạn cần phải làm thủ tục xin phép nghỉ việc sớm với công ty. Việc nghỉ việc sớm có thể dẫn đến việc bạn phải bồi thường cho công ty theo quy định."
Thời gian thông báo xin thôi việc đối với hợp đồng lao động không xác định thời hạn là bao lâu?,"Đối với hợp đồng lao động không xác định thời hạn, bạn phải thông báo xin thôi việc trước 45 ngày."
Thời gian thông báo xin thôi việc đối với hợp đồng lao động xác định thời hạn là bao lâu?,"Đối với hợp đồng lao động xác định thời hạn, bạn phải thông báo xin thôi việc trước 30 ngày."
Nếu tôi không thông báo xin thôi việc trước thời hạn quy định thì phải làm gì?,"Nếu bạn không thông báo xin thôi việc trước thời hạn quy định, bạn sẽ phải bồi thường cho công ty số tiền tương đương với số ngày lương hợp đồng mà bạn chưa thông báo trước."
Mức bồi thường khi vi phạm quy định về thời gian thông báo xin thôi việc là bao nhiêu?,Mức bồi thường khi vi phạm quy định về thời gian thông báo xin thôi việc tương đương với số ngày lương hợp đồng mà bạn chưa thông báo trước.
Nếu tôi có lý do chính đáng để không thể thông báo xin thôi việc trước thời hạn quy định thì có phải bồi thường cho công ty hay không?,"Việc bạn có phải bồi thường cho công ty hay không sẽ phụ thuộc vào lý do chính đáng của bạn. Nếu lý do của bạn được công ty chấp nhận, bạn sẽ không phải bồi thường."
Những công việc cần bàn giao khi thôi việc là gì?,"Khi thôi việc, bạn cần bàn giao lại tất cả các công việc được giao cho bạn, bao gồm:<br> Các công việc đang thực hiện dang dở.<br> Các tài liệu, hồ sơ liên quan đến công việc.<br> Các công cụ, thiết bị được giao cho bạn sử dụng."
Các giấy tờ cần nhận khi thôi việc là gì?,"Khi thôi việc, bạn cần nhận các giấy tờ sau:<br> Thẻ cảm ứng, thẻ giấy và sổ tay CNV.<br> Giấy báo lãnh lương.<br> Phiếu ra cổng.<br> Quyết định thôi việc."
Những giấy tờ cần thiết khi ủy quyền nhận lương thôi việc là gì?,Người nhận thay cần mang theo những giấy tờ sau:<br> Chứng minh nhân dân/Căn cước công dân.<br> Giấy ủy quyền (được cơ quan nhà nước xác nhận).
Mẫu giấy ủy quyền nhận lương thôi việc có thể lấy ở đâu?,Bạn có thể lấy mẫu giấy ủy quyền nhận lương thôi việc tại Bộ phận Tài Nguyên Nhân Lực
Ai là người tổ chức và lãnh đạo đình công?,Việc đình công sẽ do Tổ chức đại diện người lao động tổ chức và lãnh đạo thực hiện.<br> Đối với các công ty chưa có Tổ chức đại diện người lao động thì việc lãnh đạo đình công sẽ do Công đoàn cấp trên tổ chức và lãnh đạo theo đề nghị của người lao động.
Trong những trường hợp nào đình công được coi là bất hợp pháp?,"Đình công được coi là bất hợp pháp trong những trường hợp sau:<br> Không thuộc trường hợp được đình công quy định tại Điều 199 của Luật Lao động Việt Nam sửa đổi năm 2019.<br> Không do tổ chức đại diện người lao động có quyền tổ chức và lãnh đạo đình công.<br> Vi phạm các quy định về trình tự, thủ tục tiến hành đình công theo quy định của Luật Lao động Việt Nam sửa đổi năm 2019.<br> Khi tranh chấp lao động tập thể được cơ quan, tổ chức, cá nhân có thẩm quyền giải quyết theo quy định của Luật Lao động Việt Nam sửa đổi năm 2019.<br> Tiến hành đình công trong trường hợp không được đình công quy định tại Điều 209 của Luật Lao động Việt Nam sửa đổi năm 2019.<br> Khi đã có quyết định hoãn hoặc ngừng đình công của cơ quan có thẩm quyền theo quy định tại Điều 210 của Luật Lao động Việt Nam sửa đổi năm 2019.<br> Lưu ý:<br> Các thông tin trong bài viết này chỉ mang tính chất tham khảo. Bạn nên liên hệ trực tiếp với cơ quan nhà nước có thẩm quyền để được tư vấn cụ thể về các quy định liên quan đến việc đình công."
Mục đích của việc tổ chức đối thoại tại nơi làm việc là gì?,"Tạo kênh thông tin và thảo luận cởi mở giữa Người lao động, Công đoàn và Ban giám đốc.<br> Giải quyết các vấn đề liên quan đến quyền, lợi ích và nghĩa vụ của người lao động.<br> Nâng cao hiệu quả sản xuất, kinh doanh và xây dựng môi trường làm việc hài hòa, ổn định."
Nội dung đối thoại bao gồm những gì?,"Tình hình sản xuất, kinh doanh của công ty.<br> Việc thực hiện hợp đồng lao động, thỏa ước lao động tập thể, nội quy lao động, quy chế và cam kết, thỏa thuận khác tại nơi làm việc.<br> Điều kiện làm việc.<br> Yêu cầu của người lao động, Công đoàn đối với Ban giám đốc.<br> Yêu cầu của Ban giám đốc đối với người lao động, Công đoàn.<br> Nội dung khác mà một hoặc các bên quan tâm."
Hình thức đối thoại được thực hiện như thế nào?,Họp định kỳ 02 lần/năm (vào quý 2 và quý 4).<br> Họp đột xuất khi có yêu cầu của một hoặc các bên.
Công ty cam kết gì về việc giải quyết các vấn đề được nêu ra trong quá trình đối thoại?,Mọi vấn đề đúng sự thật sẽ được giải quyết thỏa đáng.<br> Tôn trọng ý kiến của các bên tham gia đối thoại.<br> Giữ bí mật thông tin cá nhân và nội dung cuộc họp theo quy định.
Lợi ích của việc tổ chức đối thoại tại nơi làm việc là gì?,"Tăng cường sự hiểu biết và tin tưởng giữa các bên.<br> Nâng cao tinh thần trách nhiệm và ý thức làm việc của người lao động.<br> Góp phần xây dựng môi trường làm việc văn minh, tiến bộ."
Những lưu ý khi tham gia đối thoại tại nơi làm việc?,"Các bên tham gia đối thoại cần chuẩn bị kỹ lưỡng nội dung và ý kiến.<br> Phát biểu ý kiến một cách trung thực, khách quan và xây dựng.<br> Tôn trọng ý kiến của các bên tham gia.<br> Tuân thủ các quy định của cuộc họp."
Ai là người có trách nhiệm giải đáp thắc mắc về Điều 14: Đối thoại tại nơi làm việc?,Ban Giám đốc công ty.<br> Công đoàn công ty.
Tôi có thể tìm hiểu thêm thông tin về Điều 14: Đối thoại tại nơi làm việc ở đâu?,Bộ luật Lao động 2019.<br> Nghị định 145/2020/NĐ-CP quy định chi tiết thi hành một số điều của Bộ luật Lao động về đối thoại tại nơi làm việc.
Xử lý các trường hợp không được đề cập trong Sổ tay CNV:,"Nếu thực tế xảy ra những việc không được đề cập trong Sổ tay CNV, các trường hợp đó sẽ được xử lý theo hướng dẫn của luật hiện hành."
Xử lý mâu thuẫn giữa Sổ tay CNV và Luật lao động:,"Nếu có điều khoản nào trong Sổ tay CNV vi phạm hoặc mâu thuẫn với Luật lao động Việt Nam, điều khoản đó sẽ bị hủy bỏ.<br> Thay vào đó, Luật hiện hành sẽ được áp dụng.<br> Các điều khoản khác trong Sổ tay CNV vẫn giữ nguyên hiệu lực."
Quyền sở hữu và bảo mật Sổ tay CNV:,"Sổ tay CNV thuộc tài sản của công ty.<br> Chỉ có công nhân viên đang làm việc tại công ty mới có quyền sở hữu.<br> Công nhân viên không được phép lan truyền Sổ tay CNV ra bên ngoài.<br> Khi công nhân viên thôi việc, phải hoàn trả Sổ tay CNV lại cho bộ phận Nhân sự."
Giải thích và sửa đổi Sổ tay CNV:,"Bộ phận Nhân sự chịu trách nhiệm giải thích và sửa đổi Sổ tay CNV.<br> Bộ phận Nhân sự có quyền sửa đổi Sổ tay CNV khi cần thiết.<br> Mọi thay đổi sẽ được thông báo cho toàn thể công nhân viên.<br> Lưu ý:<br> Sổ tay CNV là tài liệu quan trọng, công nhân viên cần đọc kỹ và tuân thủ các quy định trong Sổ tay.<br> Nếu có bất kỳ thắc mắc nào về Sổ tay CNV, công nhân viên cần liên hệ với bộ phận Nhân sự để được giải đáp."
